Date,# Txns,Sales U,Sales $
14-Jun-2016,53129.00,207629.90,2551027.39
15-Jun-2016,70343.00,326372.65,5686329.70
16-Jun-2016,62876.00,277409.14,4279203.25
17-Jun-2016,69963.00,307900.83,4890361.60
18-Jun-2016,72812.00,354490.12,5976605.30
19-Jun-2016,53747.00,247849.87,4020649.92
20-Jun-2016,55787.00,229879.91,3186164.45
21-Jun-2016,60396.00,254619.16,3811056.92
22-Jun-2016,49360.00,190712.71,2299339.51
23-Jun-2016,50252.00,196555.83,2398804.82
24-Jun-2016,56710.00,228271.63,2892047.26
25-Jun-2016,54519.00,241091.02,3341943.87
26-Jun-2016,43989.00,192615.29,2606403.15
27-Jun-2016,45264.00,172247.69,2010146.17
28-Jun-2016,50885.00,194145.06,2389346.85
29-Jun-2016,65554.00,318318.63,4411440.89
30-Jun-2016,69979.00,323673.81,4319320.33
1-Jul-2016,76930.00,377182.72,5107254.16
2-Jul-2016,70729.00,359590.67,5156489.78
3-Jul-2016,56422.00,272301.02,3918358.09
4-Jul-2016,38443.00,171913.49,2548330.02
5-Jul-2016,51261.00,213885.31,2743070.03
6-Jul-2016,53870.00,224465.81,2571805.46
7-Jul-2016,55540.00,224720.26,2750170.97
8-Jul-2016,58632.00,237340.38,2958187.63
9-Jul-2016,58556.00,257507.22,3353464.25
10-Jul-2016,50350.00,221676.38,2827496.09
11-Jul-2016,48133.00,191913.41,2190117.18
12-Jul-2016,49297.00,190621.80,2177818.28
13-Jul-2016,54973.00,251400.91,3596010.76
14-Jul-2016,60231.00,279125.56,3714597.85
15-Jul-2016,66921.00,316676.36,4301936.22
16-Jul-2016,73911.00,387701.21,5703206.38
17-Jul-2016,61273.00,325655.65,4788722.04
18-Jul-2016,49073.00,214377.18,2453724.14
19-Jul-2016,51643.00,219811.51,2764948.87
20-Jul-2016,48647.00,212026.50,2292172.07
21-Jul-2016,48419.00,208998.80,2309623.17
22-Jul-2016,55667.00,242867.20,2783375.49
23-Jul-2016,53862.00,267704.92,3301768.93
24-Jul-2016,43769.00,214926.54,2579111.10
25-Jul-2016,45558.00,197412.00,2083434.19
26-Jul-2016,47012.00,202289.75,2198585.11
27-Jul-2016,54614.00,257616.39,3223209.71
28-Jul-2016,52708.00,243441.97,2861382.59
29-Jul-2016,64888.00,312980.76,3849350.11
30-Jul-2016,63300.00,339580.22,4423535.73
31-Jul-2016,53414.00,293261.28,3590013.26
1-Aug-2016,51152.00,228397.86,2636308.46
2-Aug-2016,53230.00,237159.26,2946868.31
3-Aug-2016,60000.00,281117.40,3362513.31
4-Aug-2016,57978.00,266944.53,3207272.63
5-Aug-2016,60257.00,282562.61,3351399.42
6-Aug-2016,58766.00,309068.91,3695176.49
7-Aug-2016,49611.00,258985.63,2949142.34
8-Aug-2016,45249.00,198768.67,2087827.30
9-Aug-2016,45200.00,194141.43,2084201.51
10-Aug-2016,60224.00,290477.31,4488280.36
11-Aug-2016,57249.00,274864.61,3806649.84
12-Aug-2016,68212.00,328774.29,4567510.47
13-Aug-2016,70078.00,385515.95,5633643.93
14-Aug-2016,57446.00,311698.30,4392583.26
15-Aug-2016,56459.00,260550.54,3435918.92
16-Aug-2016,61332.00,285409.50,4057254.54
