Date,Txns,Sales
11-Dec-2016,57556,3997787
12-Dec-2016,58222,3367219
13-Dec-2016,62407,3639814
14-Dec-2016,84553,7285768
15-Dec-2016,83391,6457171
16-Dec-2016,94270,8022687
17-Dec-2016,95057,9566327
18-Dec-2016,78221,7569443
19-Dec-2016,79311,6431603
20-Dec-2016,92464,8139168
21-Dec-2016,83305,6278036
22-Dec-2016,89362,6919110
23-Dec-2016,100614,8358916
24-Dec-2016,73712,6070263
26-Dec-2016,66015,4249041
27-Dec-2016,58920,2797963
28-Dec-2016,58719,2911994
29-Dec-2016,62617,3334704
30-Dec-2016,68307,3982090
31-Dec-2016,56959,3374192
1-Jan-2017,23251,1316189
2-Jan-2017,46330,2413498
3-Jan-2017,50301,2155525
4-Jan-2017,49827,2256792
5-Jan-2017,49698,2270440
6-Jan-2017,54502,2553721
7-Jan-2017,43082,2329517
8-Jan-2017,34960,1849287
9-Jan-2017,41139,1743315
10-Jan-2017,44602,2037004
11-Jan-2017,44858,2039697
12-Jan-2017,49220,2405191
13-Jan-2017,66015,4029418
14-Jan-2017,61144,4119967
15-Jan-2017,48030,3128918
16-Jan-2017,43280,2699998
17-Jan-2017,45661,1977505
18-Jan-2017,43863,2005865
19-Jan-2017,44548,2036104
20-Jan-2017,46823,2257234
21-Jan-2017,50318,2900022
22-Jan-2017,37965,2066122
23-Jan-2017,36201,1551912
24-Jan-2017,37725,1664223
25-Jan-2017,55313,3092959
26-Jan-2017,49590,2384128
27-Jan-2017,55327,2805206
28-Jan-2017,56882,3602651
29-Jan-2017,44392,2545099
30-Jan-2017,38165,1571383
31-Jan-2017,44784,2068541
1-Feb-2017,56686,3705395
2-Feb-2017,54353,3254766
3-Feb-2017,60979,3789297
4-Feb-2017,66914,5028942
5-Feb-2017,48589,3238207
6-Feb-2017,45150,2422370
7-Feb-2017,53622,3172594
8-Feb-2017,44137,2078210
9-Feb-2017,43092,2094060
10-Feb-2017,54191,2774296
11-Feb-2017,57077,3531195
12-Feb-2017,48316,2741085
13-Feb-2017,61395,2964982
14-Feb-2017,66590,3422758
15-Feb-2017,49527,2533589
16-Feb-2017,49189,2413423
17-Feb-2017,54957,3367669
18-Feb-2017,54120,3774422
19-Feb-2017,43735,2954169
20-Feb-2017,37881,2544777
21-Feb-2017,43451,1934315
22-Feb-2017,55620,3166004
23-Feb-2017,53031,2996244
24-Feb-2017,60519,3535072
25-Feb-2017,60262,4095582
26-Feb-2017,49986,3206739
27-Feb-2017,41799,1967649
28-Feb-2017,48360,2519538
1-Mar-2017,48892,2584632
2-Mar-2017,50295,2623702
3-Mar-2017,57526,3420330
4-Mar-2017,57308,3831444
5-Mar-2017,46614,2906559
6-Mar-2017,44054,2097506
7-Mar-2017,45190,2209238
8-Mar-2017,46883,2391244
9-Mar-2017,47817,2442865
10-Mar-2017,54361,2953564
11-Mar-2017,56195,3568064
12-Mar-2017,45835,2778912
13-Mar-2017,42905,1888014
14-Mar-2017,43211,2103057
15-Mar-2017,59215,4598212
16-Mar-2017,58707,3757252
17-Mar-2017,65730,4434901
18-Mar-2017,65310,5524719
19-Mar-2017,54450,4295489
20-Mar-2017,50689,3000693
21-Mar-2017,56162,3548169
22-Mar-2017,47402,2368384
23-Mar-2017,48615,2389747
24-Mar-2017,54792,2913315
25-Mar-2017,54831,3430103
26-Mar-2017,44226,2683093
27-Mar-2017,46977,2174907
28-Mar-2017,47461,2288220
29-Mar-2017,64985,3929322
30-Mar-2017,60212,3147631
31-Mar-2017,70335,4629083
1-Apr-2017,70516,5102933
2-Apr-2017,57137,3964746
3-Apr-2017,44553,1968573
4-Apr-2017,46274,2112712
5-Apr-2017,47800,2335075
6-Apr-2017,44515,2166994
7-Apr-2017,54681,2927165
8-Apr-2017,54843,3449293
9-Apr-2017,43658,2643777
10-Apr-2017,44588,2157321
11-Apr-2017,46386,2286895
12-Apr-2017,50496,2821792
13-Apr-2017,55427,3105464
14-Apr-2017,64733,3923544
15-Apr-2017,64479,4365053
16-Apr-2017,34396,2061084
17-Apr-2017,46812,2212169
18-Apr-2017,46395,2199601
19-Apr-2017,52423,3273966
20-Apr-2017,50880,2753573
21-Apr-2017,59833,3596573
22-Apr-2017,59678,4220180
23-Apr-2017,49436,3446125
24-Apr-2017,45659,2297786
25-Apr-2017,48562,2652539
