PO_ID,Item_num,Item_desc,Txns,Sls_U,Sls_$
640289495,8354479,CINDERELLA: DIA EDT. DVD/BD,1.00,8.00,265.92
640289542,10697005,JACK REACHER NEVER GO BACK,1.00,8.00,159.92
640289542,10637762,INFERNO DVD 1/24/17,1.00,8.00,159.92
640289554,10697024,JACK REACHER NEVER GO BACK,1.00,8.00,207.92
640289573,10697024,JACK REACHER NEVER GO BACK,1.00,8.00,151.92
640289573,10666533,MASTERMINDS BD DVD,1.00,8.00,174.72
640290110,10122147,MARTIAN THE DVD,1.00,8.00,143.92
640290110,8880694,4 MOVIE SPOTLIGHT JAMIE FOXX,1.00,8.00,79.92
640290207,10417488,BEAUTY AND THE BEAST 25TH ANNIV EDT BDDVDDIGITAL,1.00,8.00,159.92
640290334,10697019,LILO AND STITCH 2 MOVIE COLLECTION REPACKAGE 2017,1.00,8.00,119.92
640290334,10697017,FOX AND THE HOUND 2 MOVIE COLLECTION REPACKAGE 201,1.00,8.00,119.92
640290334,10628593,PINOCCHIO,1.00,8.00,183.92
640290341,10574263,KUBO AND THE TWO STRINGS BD DVD DIGITAL,1.00,8.00,199.92
640290464,10697026,TYLER PERRY BOO A MADEA HALLOWEEN,1.00,0.00,-38.00
640290628,10637774,INFERNO BD UV 1/24/17,1.00,8.00,199.92
640290655,10312471,ZOOTOPIA,1.00,8.00,159.92
640290655,9089471,JUNGLE BOOK DIAMOND EDT,1.00,8.00,159.92
640291088,10697009,TYLER PERRY BOO A MADEA HALLOWEEN,1.00,8.00,143.92
640291096,9792716,EAGLE AGAINST THE SUN WWII DOC SERIES,1.00,8.00,47.92
640478976,9214519,"SYLVANIA SDVD7040B 7"" PORTABLE DVD",1.00,8.00,364.72
640478983,9792869,FOCUS 2015 DVD UV,1.00,8.00,55.92
640478983,9138357,3 MOVIE LAUGH PACK SARAH MARSHALL GET HIM TO THE G,1.00,8.00,79.92
640479495,10697005,JACK REACHER NEVER GO BACK,1.00,8.00,159.92
640479495,10666463,THE HOLLOW POINT,1.00,8.00,119.92
640479495,10628616,THE CALL UP,1.00,8.00,119.92
640479576,10556101,FARM,1.00,8.00,37.92
640479576,10556070,4MOVIE HAUNTING COLLECTION,1.00,8.00,37.92
640479576,10312317,DIARY WIMPY KID 2,1.00,8.00,45.52
640479666,10340548,BROTHERS GRIMBSBY BD UV,1.00,8.00,175.92
640479667,10574155,IMPERIUM,1.00,8.00,119.92
640479689,10697005,JACK REACHER NEVER GO BACK,1.00,8.00,151.92
640479730,10697009,TYLER PERRY BOO A MADEA HALLOWEEN,1.00,8.00,143.92
640479746,10594557,SUICIDE SQUAD,1.00,8.00,215.92
640479755,10697084,PINOCCHIO,1.00,8.00,147.84
640479857,10697009,TYLER PERRY BOO A MADEA HALLOWEEN,1.00,8.00,136.72
640479966,10574264,SECRET LIFE OF PETS THE BD DVD DIGITAL,1.00,8.00,199.92
640480004,10697009,TYLER PERRY BOO A MADEA HALLOWEEN,1.00,8.00,143.92
640480004,10697005,JACK REACHER NEVER GO BACK,1.00,8.00,159.92
640480065,10697009,TYLER PERRY BOO A MADEA HALLOWEEN,1.00,8.00,113.92
640480065,10697005,JACK REACHER NEVER GO BACK,1.00,8.00,113.92
640480065,10628593,PINOCCHIO,1.00,8.00,189.92
640480222,10697024,JACK REACHER NEVER GO BACK,1.00,8.00,207.92
640480341,9874558,WWII BATTLES IN THE SKY,1.00,8.00,143.92
640480341,9648770,VICTORY BY AIR   TIN,1.00,8.00,55.92
640480341,9472795,POPEYE (1980),1.00,8.00,39.92
640480341,9414920,B24  TARGET JAPAN  THE VICTORY BOMBERS,1.00,8.00,55.92
640480341,9150280,VICTORY AT SEA,1.00,8.00,31.92
640480341,8880808,CONJURING DVD/UV,1.00,8.00,39.92
640480341,8548125,GUNS ? THE EVOLUTION OF FIREARMS,1.00,8.00,31.92
640480458,9288708,HERCULES SPECIAL EDITION,1.00,8.00,119.92
640480726,10697024,JACK REACHER NEVER GO BACK,1.00,8.00,207.92
640480759,10666499,THE GIRL ON THE TRAIN,1.00,8.00,159.92
640480825,10697009,TYLER PERRY BOO A MADEA HALLOWEEN,1.00,8.00,96.40
640480825,10696994,TYLER PERRY MADEA ON THE RUN,1.00,8.00,96.48
640480958,8199645,WHISPER OF THE HEART BD/DVD COMBO,1.00,8.00,159.92
640481166,10697024,JACK REACHER NEVER GO BACK,1.00,8.00,197.52
640481166,10666523,THE GIRL ON THE TRAIN,1.00,8.00,189.92
640481190,10443720,NCIS LOS ANGELES 7TH SEASON,1.00,8.00,255.92
640481360,9241488,CODEBREAKER COMPLETE SERIES,1.00,8.00,343.92
640481372,9725736,POWER 1ST SEASON,1.00,8.00,223.92
640481384,10697024,JACK REACHER NEVER GO BACK,1.00,8.00,207.92
640481384,10467922,XMEN APOCALYPSE DVD DIGITAL,1.00,8.00,159.92
640481384,8346293,SUPERMAN/ BATMAN DOUBLE FEATURE,1.00,8.00,119.92
640481412,10039604,FIFTH ELEMENT THE 4K,1.00,8.00,103.92
640481509,10628593,PINOCCHIO,1.00,8.00,223.92
