format,fy,date,txns
FLEET,2016,2/7/2016,4040
FLEET,2016,2/8/2016,9742
FLEET,2016,2/9/2016,9946
FLEET,2016,2/10/2016,10348
FLEET,2016,2/11/2016,12142
FLEET,2016,2/12/2016,8322
FLEET,2016,2/13/2016,4450
FLEET,2016,2/14/2016,3837
FLEET,2016,2/15/2016,4350
FLEET,2016,2/16/2016,10481
FLEET,2016,2/17/2016,9574
FLEET,2016,2/18/2016,10019
FLEET,2016,2/19/2016,8707
FLEET,2016,2/20/2016,4966
FLEET,2016,2/21/2016,4938
FLEET,2016,2/22/2016,10293
FLEET,2016,2/23/2016,9861
FLEET,2016,2/24/2016,9668
FLEET,2016,2/25/2016,9621
FLEET,2016,2/26/2016,8801
FLEET,2016,2/27/2016,4963
FLEET,2016,2/28/2016,4974
FLEET,2016,2/29/2016,10387
FLEET,2016,3/1/2016,10324
FLEET,2016,3/2/2016,9710
FLEET,2016,3/3/2016,10251
FLEET,2016,3/4/2016,8268
FLEET,2016,3/5/2016,4224
FLEET,2016,3/6/2016,4159
FLEET,2016,3/7/2016,9435
FLEET,2016,3/8/2016,9721
FLEET,2016,3/9/2016,10000
FLEET,2016,3/10/2016,10254
FLEET,2016,3/11/2016,8734
FLEET,2016,3/12/2016,4806
FLEET,2016,3/13/2016,4578
FLEET,2016,3/14/2016,10601
FLEET,2016,3/15/2016,10796
FLEET,2016,3/16/2016,10052
FLEET,2016,3/17/2016,10146
FLEET,2016,3/18/2016,8569
FLEET,2016,3/19/2016,4330
FLEET,2016,3/20/2016,4464
FLEET,2016,3/21/2016,10075
FLEET,2016,3/22/2016,9845
FLEET,2016,3/23/2016,9709
FLEET,2016,3/24/2016,9952
FLEET,2016,3/25/2016,7916
FLEET,2016,3/26/2016,4312
FLEET,2016,3/27/2016,3609
FLEET,2016,3/28/2016,9925
FLEET,2016,3/29/2016,9518
FLEET,2016,3/30/2016,9818
FLEET,2016,3/31/2016,11510
FLEET,2016,4/1/2016,9893
FLEET,2016,4/2/2016,5020
FLEET,2016,4/3/2016,5196
FLEET,2016,4/4/2016,11467
FLEET,2016,4/5/2016,10718
FLEET,2016,4/6/2016,10066
FLEET,2016,4/7/2016,10084
FLEET,2016,4/8/2016,8883
FLEET,2016,4/9/2016,4417
FLEET,2016,4/10/2016,4295
FLEET,2016,4/11/2016,10122
FLEET,2016,4/12/2016,9895
