loc,order_nbr,item
221,18713756,7088436
221,18713756,8053309
263,18713756,7088436
263,18713756,8053309
274,18713756,8053309
292,18659448,10254940
292,18659448,10254965
292,18713756,7088436
292,18713756,8053309
292,18746318,10839604
292,18746318,10839609
292,18746318,10839613
292,18746318,10839656
292,18746318,10839785
314,18713756,8053309
335,18713756,7088436
335,18713756,8053309
366,18659448,10254940
366,18659448,10254965
366,18713756,7088436
366,18713756,8053309
393,18659448,10254940
393,18659448,10254965
393,18713756,7088436
393,18713756,8053309
393,18746318,10839604
393,18746318,10839609
393,18746318,10839613
393,18746318,10839656
393,18746318,10839785
407,18713756,7088436
407,18713756,8053309
437,18659448,10254940
437,18659448,10254965
437,18713756,7088436
437,18713756,8053309
437,18746318,10839604
437,18746318,10839609
437,18746318,10839613
437,18746318,10839656
437,18746318,10839745
437,18746318,10839775
437,18746318,10839785
440,18659448,10254940
440,18659448,10254965
440,18713756,7088436
440,18713756,8053309
441,18746318,10839604
441,18746318,10839609
441,18746318,10839613
441,18746318,10839656
441,18746318,10839745
441,18746318,10839775
441,18746318,10839785
464,18659448,10254940
464,18659448,10254965
464,18713756,7088436
464,18713756,8053309
474,18713756,7088436
474,18713756,8053309
474,18746318,10839656
486,18713756,7088436
490,18713756,7088436
490,18713756,8053309
490,18746318,10839656
490,18746318,10839785
496,18746318,10839604
496,18746318,10839609
496,18746318,10839613
496,18746318,10839656
496,18746318,10839745
496,18746318,10839775
496,18746318,10839785
650,18746400,10839604
650,18746400,10839609
650,18746400,10839613
650,18746400,10839656
650,18746400,10839745
650,18746400,10839775
650,18746400,10839785
652,18746400,10839785
716,18746400,10839604
716,18746400,10839609
716,18746400,10839613
716,18746400,10839656
716,18746400,10839775
716,18746400,10839785
720,18659448,10254940
720,18659448,10254965
720,18746318,10839604
720,18746318,10839609
720,18746318,10839613
720,18746318,10839656
720,18746318,10839745
720,18746318,10839775
720,18746318,10839785
10,19047334,10291529
10,19050220,6560997
10,18973530,10287316
10,19010351,7527051
10,19010351,10493492
10,19045422,6658660
10,19045527,7523158
10,19046096,10287316
10,19047278,6540270
10,19047278,6540525
10,19047348,5352739
10,19047348,9019800
10,19048515,7304741
10,18962987,10171442
2,19046848,102743
2,19006231,4606755
2,19009678,9291793
2,19047864,5382700
7,19046849,102743
7,18413860,10330411
8,19046779,102743
8,19053330,3689555
8,19010321,9735402
8,18888773,7438416
8,18944048,9763552
8,19017486,7438416
8,18413860,7733689
8,18413860,10330411
8,19006643,7728437
8,19006643,7733689
9,19049947,102743
9,18413860,7617688
10,19046850,102743
10,19046850,3689555
10,18999583,10958542
10,18999583,10958555
10,19020400,9242137
10,19020400,10816306
10,19020400,10836406
10,19037766,10305808
10,19037861,8910739
10,19037861,9896130
10,19039126,11005565
10,19041644,11005572
10,19041911,10735221
10,19028867,10520312
10,19017731,10924618
10,19044104,8937715
10,19045128,8046666
10,18949417,10957381
10,18949417,10957385
10,19008760,10970349
10,19029747,10384487
10,18991507,9355801
10,18991507,10281254
10,18991507,10445512
10,18991507,10451552
10,19009439,10780059
10,19047762,10451552
10,19047762,10780059
10,18913615,10939189
10,18913776,10938945
10,19033328,10698206
10,18931510,10558630
10,18931510,10558690
10,18972562,10558523
10,18972562,10558580
10,18972562,10558586
10,18972562,10558621
10,18972562,10558630
10,18972562,10558690
10,18988963,10558536
10,18988963,10558580
10,18988963,10558586
10,18988963,10558621
10,18988963,10558630
10,18988963,10558690
10,19027214,10615565
10,19027248,10558536
10,19027248,10558586
10,19027248,10558621
10,19027248,10558630
10,19027248,10558690
10,19045235,10558536
10,19045235,10558586
10,19045235,10558621
10,19045235,10558630
10,19045247,10939928
10,19022972,10939538
10,19022972,10939572
10,19022972,10939581
10,19054294,10921368
10,19029625,10239308
10,19029625,10817372
10,19047903,10239368
10,19047903,10572530
10,19047903,10588683
10,19047903,10817367
10,18945685,10957609
10,18960740,10960171
10,18960740,10961868
10,18964585,10965068
10,19042889,10943438
10,19012910,10669840
10,19012910,10669959
10,19049741,10669840
10,18911412,10930109
10,18561922,10751061
10,18562822,10750963
10,18638927,10800066
10,18639437,10801409
10,18549393,10748052
10,18566229,10711920
10,18566229,10713580
10,18641116,10713551
10,18641754,10713137
10,18641754,10713702
10,18695996,10832896
10,19028091,10667864
10,19048877,10454134
10,18482826,10713113
10,18482826,10713180
10,18482826,10713233
10,18482826,10713326
10,18482826,10713332
10,18482826,10713338
10,18482826,10713344
10,18496600,9912151
10,18496600,10713431
10,18496600,10713455
10,18496600,10713498
10,18923839,10646939
10,18923839,10922555
10,18924216,10645637
10,18924216,10922421
10,18939674,10951894
10,18939674,10951928
10,18973659,9905020
