Day,Date,Sales $,Plan $,Sales $ LY,MD $,MD $ LY,MD %,MD % LY,Ad Drop,Scratcher,Pay,Clrn,Coupon,Neg,Scratcher LY,Pay LY,Clrn LY,Coupon LY,Neg LY,Hit LY
Sat,12/10/2016,7743.18,9671.53,9330.24,1092.40,1442.37, 0.14 , 0.15 ,0,0,0,0,0,0,0,0,0,0,0,0
Sun,12/11/2016,5299.35,7348.97,7163.18,733.64,1031.17, 0.14 , 0.14 ,0,0,0,0,0,0,0,0,0,0,0,0
Mon,12/12/2016,5113.78,6680.85,6684.88,888.23,990.62, 0.17 , 0.15 ,0,0,0,0,0,1,0,0,0,0,0,0
Tue,12/13/2016,5727.62,7046.00,7876.19,844.89,1212.85, 0.15 , 0.15 ,0,0,0,0,0,0,0,0,0,0,0,0
Wed,12/14/2016,10042.36,8983.57,8687.90,1738.07,1608.03, 0.17 , 0.19 ,1,1,0,0,0,0,0,0,0,0,0,1
Thu,12/15/2016,8829.37,9450.92,8096.41,1460.53,1289.24, 0.17 , 0.16 ,0,0,1,0,0,0,0,0,0,0,0,1
Fri,12/16/2016,10577.18,10524.34,9534.16,2619.34,1567.63, 0.25 , 0.16 ,0,0,0,0,0,0,0,0,0,0,0,1
Sat,12/17/2016,11440.11,11043.81,11024.12,2829.55,1835.70, 0.25 , 0.17 ,0,0,0,0,0,1,0,0,0,0,0,1
Sun,12/18/2016,9063.30,9130.88,8107.63,2203.62,1267.22, 0.24 , 0.16 ,0,0,0,0,0,0,0,0,0,0,0,1
Mon,12/19/2016,8462.86,9080.29,9244.82,1369.87,1492.78, 0.16 , 0.16 ,0,0,0,0,0,0,0,0,0,0,0,0
Tue,12/20/2016,10255.01,9350.07,11077.95,1674.22,1719.46, 0.16 , 0.16 ,0,0,0,0,0,0,0,0,0,0,0,0
Wed,12/21/2016,8652.80,8944.62,10697.49,1850.10,1420.11, 0.21 , 0.13 ,1,0,0,0,0,0,0,0,0,0,0,0
Thu,12/22/2016,9222.30,8472.07,9108.63,1655.24,1218.58, 0.18 , 0.13 ,0,0,0,0,0,0,0,0,0,0,0,1
Fri,12/23/2016,10800.28,9130.82,398.37,1848.05,172.55, 0.17 , 0.43 ,0,0,0,0,0,0,0,0,0,0,0,1
Sat,12/24/2016,7658.69,9652.33,6104.85,1233.88,2531.22, 0.16 , 0.41 ,0,0,0,0,0,0,0,0,0,0,0,1
Sun,12/25/2016,407.56,523.66,3573.00,53.92,686.93, 0.13 , 0.19 ,0,0,0,0,0,0,0,0,0,0,0,0
Mon,12/26/2016,5398.98,4258.77,3912.70,3019.22,770.12, 0.56 , 0.20 ,0,0,0,1,0,0,0,0,0,0,0,1
Tue,12/27/2016,4393.40,4549.57,4538.27,880.15,734.88, 0.20 , 0.16 ,0,0,0,0,0,0,0,0,0,0,0,0
Wed,12/28/2016,4522.49,4782.92,5739.20,810.37,845.24, 0.18 , 0.15 ,1,0,0,0,1,0,0,0,0,0,0,0
Thu,12/29/2016,5177.27,4879.25,5863.69,844.68,759.72, 0.16 , 0.13 ,0,0,0,0,0,0,0,0,0,0,0,0
Fri,12/30/2016,6033.31,5551.64,2206.89,1004.67,433.20, 0.17 , 0.20 ,0,0,1,0,0,0,0,0,0,0,0,1
Sat,12/31/2016,4942.59,6568.68,4778.63,,624.11,  , 0.13 ,0,0,0,0,0,0,0,0,0,0,0,1
Sun,1/3/2016,3540.44,3774.02,3645.51,337.95,388.50, 0.10 , 0.11 ,0,0,0,0,1,0,0,0,0,1,0,0
Mon,1/4/2016,3731.45,3961.38,3832.18,3167.17,3480.59, 0.85 , 0.91 ,0,0,0,0,0,0,0,0,0,0,0,0
Tue,1/5/2016,3740.98,4020.70,4013.35,2332.91,2413.33, 0.62 , 0.60 ,0,0,0,0,0,0,0,0,0,0,0,0
Wed,1/6/2016,4109.77,4311.10,4185.19,388.76,385.74, 0.09 , 0.09 ,1,0,0,0,1,0,0,1,0,1,0,0
Thu,1/7/2016,3921.77,3952.26,3823.90,2263.70,2625.83, 0.58 , 0.69 ,0,0,0,0,0,0,0,0,0,0,0,1
Fri,1/8/2016,4499.57,4734.29,4595.82,347.86,490.23, 0.08 , 0.11 ,0,0,0,0,0,0,0,0,0,0,0,0
Sat,1/9/2016,4716.67,4691.24,4572.01,300.25,319.43, 0.06 , 0.07 ,0,0,0,0,0,0,0,0,0,0,0,1
Sun,1/10/2016,3514.57,3606.41,3507.01,304.47,193.34, 0.09 , 0.06 ,0,0,0,0,0,0,0,0,0,1,0,1
Mon,1/11/2016,3542.73,3419.24,3295.55,500.19,537.07, 0.14 , 0.16 ,0,0,0,0,0,0,0,0,0,0,0,1
Tue,1/12/2016,3591.92,3631.30,3414.22,344.89,461.56, 0.10 , 0.14 ,0,0,0,0,0,0,0,0,0,0,0,1
Wed,1/13/2016,4302.33,4871.46,5504.84,527.18,947.73, 0.12 , 0.17 ,1,0,0,0,0,0,0,0,0,1,1,0
Thu,1/14/2016,4943.69,4163.76,4679.31,453.03,738.90, 0.09 , 0.16 ,0,0,0,0,0,0,0,1,0,0,0,1
Fri,1/15/2016,6822.74,7267.47,5552.45,1131.98,673.02, 0.17 , 0.12 ,0,0,1,0,0,0,0,0,0,0,0,1
