Month,Date,Day of Week,POS Txn,Style,Dept,Txns,Sales U,Sales $,BasketU,Basket$,AvgBskt$,AvgBsktU
2017:03-APR,4/24/2017,Monday,653516812,"10786282:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,2,$0,2,$375,$374.50,2.0
2017:03-APR,4/24/2017,Monday,653516812,8761983:TB CLASSIC GOLD BROWN,0589:SUNGLASSES,1,1,$98,2,$375,$374.50,2.0
2017:03-APR,4/24/2017,Monday,653516813,10545120:OAKLEY UNSX SILVER XL MATTE BLK 57MM SUNGLASSES HD,0589:SUNGLASSES,1,1,$84,1,$84,$84.00,1.0
2017:03-APR,4/24/2017,Monday,653516813,"10786282:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,1,$0,1,$84,$84.00,1.0
2017:03-APR,4/24/2017,Monday,653516814,10713246:COACH TATUM GP CASE AND MESH BRACELET WITH GP SUNR,0585:WATCHES,1,1,$175,1,$175,$175.00,1.0
2017:03-APR,4/24/2017,Monday,653516814,"10786282:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,1,$0,1,$175,$175.00,1.0
2017:03-APR,4/24/2017,Monday,653516817,"10786282:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,1,$0,1,$32,$31.50,1.0
2017:03-APR,4/24/2017,Monday,653516817,8390192:TIM FLSZ IRNMN TRADITIONAL MEGA,0585:WATCHES,1,1,$32,1,$32,$31.50,1.0
2017:03-APR,4/24/2017,Monday,653516819,"10786282:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,1,$0,3,$76,$76.48,3.0
2017:03-APR,4/24/2017,Monday,653516819,4889314:GAS CAN BLACK/GREY .,0589:SUNGLASSES,1,1,$60,3,$76,$76.48,3.0
2017:03-APR,4/24/2017,Monday,653516819,"5961027:BASIC LINER, CLEAR",0931:BATH,1,1,$3,3,$76,$76.48,3.0
2017:03-APR,4/24/2017,Monday,653516819,6382975:Plan S2b Sunglass Replc $50 - $99.99 2yr 31 days a,0589:SUNGLASSES,1,1,$14,3,$76,$76.48,3.0
2017:03-APR,4/24/2017,Monday,653516820,"10786282:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,1,$0,1,$161,$161.00,1.0
2017:03-APR,4/24/2017,Monday,653516820,7498779:RND ROSE GLD BRC _D,0585:WATCHES,1,1,$161,1,$161,$161.00,1.0
2017:03-APR,4/24/2017,Monday,653516821,"10786282:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,1,$0,1,$133,$133.00,1.0
2017:03-APR,4/24/2017,Monday,653516821,7626466:MJ PEAHI- MATTE BLACK HCL BRONZE,0589:SUNGLASSES,1,1,$133,1,$133,$133.00,1.0
2017:03-APR,4/24/2017,Monday,653516822,"10793466:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,1,$0,1,$39,$38.50,1.0
2017:03-APR,4/24/2017,Monday,653516822,9780449:FOSSIL MG MNS MT BLK MTL RCTNGL 57MM SUNGLASS MSA,0589:SUNGLASSES,1,1,$39,1,$39,$38.50,1.0
2017:03-APR,4/24/2017,Monday,653516823,"10786282:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,1,$0,1,$109,$108.50,1.0
2017:03-APR,4/24/2017,Monday,653516823,7729976:OAK SI FLAK JACKET XJL MTL BLK/GREY PLZD,0589:SUNGLASSES,1,1,$109,1,$109,$108.50,1.0
2017:03-APR,4/24/2017,Monday,653516824,"10786282:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,1,$0,1,$26,$25.88,1.0
2017:03-APR,4/24/2017,Monday,653516824,3571:CASIO MNS ANALOG-DIGITAL DIVERS BLACK WR WATCH MSA,0585:WATCHES,1,1,$26,1,$26,$25.88,1.0
2017:03-APR,4/24/2017,Monday,653516825,10018706:TIMEX MNS EXPEDTION SCOUT CRM DIAL BWN LTHR STRO 4,0585:WATCHES,1,1,$32,1,$32,$31.50,1.0
2017:03-APR,4/24/2017,Monday,653516825,"10786282:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,1,$0,1,$32,$31.50,1.0
2017:03-APR,4/24/2017,Monday,653516826,"10786282:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,1,$0,1,$21,$20.99,1.0
2017:03-APR,4/24/2017,Monday,653516826,8066211:GOS 4 PR 4MM GOS EARS,0581:BRIDGE JEWELRY,1,1,$21,1,$21,$20.99,1.0
2017:03-APR,4/24/2017,Monday,653516827,"10793466:APR 19-25, 2017 30% OFF ONE ITEM IN APPAREL, SHOES",0999:UNSCANNED ITEMS,1,1,$0,2,$151,$151.49,2.0
2017:03-APR,4/24/2017,Monday,653516827,10820039:RAY-BAN MNS MATTE BLACK / BLUE FLASH POLAR 58MM SU,0589:SUNGLASSES,1,1,$123,2,$151,$151.49,2.0
