desc,num,txns,desc2
"20% OFF SINGLE ITEM FOR SHOES, LUGGAGE, HANDBAGS,",8902173,119.00,"'20% OFF SINGLE ITEM FOR SHOES, LUGGAGE, HANDBAGS,"
TRAILER PROMO WK5 2-8 MAR 14,9069139,1.00,'TRAILER PROMO WK5 2-8 MAR 14
ANNAPOLIS GRAND OPENING 1ST WEEK $5 OFF TOTAL PURC,9137036,762.00,'ANNAPOLIS GRAND OPENING 1ST WEEK $5 OFF TOTAL PURC
ANNAPOLIS GRAND OPENING 2ND WEEK $5 OFF TOTAL PURC,9137045,500.00,'ANNAPOLIS GRAND OPENING 2ND WEEK $5 OFF TOTAL PURC
ANNAPOLIS GRAND OPENING 3RD WEEK $5 OFF TOTAL PURC,9137061,615.00,'ANNAPOLIS GRAND OPENING 3RD WEEK $5 OFF TOTAL PURC
APRIL SAVINGS BONUS 4TH DAY SAVINGS 15% OFF ENTIRE,9137063,1.00,'APRIL SAVINGS BONUS 4TH DAY SAVINGS 15% OFF ENTIRE
MILITARY STAR 5% OFF $100 OR MORE,9172954,104.00,'MILITARY STAR 5% OFF $100 OR MORE
WEEK 8 SODA TRAILER 5/$12,9200302,1.00,'WEEK 8 SODA TRAILER 5/$12
COME BACK CARD ISSUE,9287101,1.00,'COME BACK CARD ISSUE
COME BACK CARD REDEMPTION,9287120,1.00,'COME BACK CARD REDEMPTION
FURNITURE SCRATCH OFF CARD,9335113,3995.00,'FURNITURE SCRATCH OFF CARD
JEWELRY SCRATCH OFF CARD,9335114,3387.00,'JEWELRY SCRATCH OFF CARD
20% OFF ANY SINGLE HOME ITEM,9393504,2.00,'20% OFF ANY SINGLE HOME ITEM
20% OFF ANY SINGLE APPAREL OR ACCESSORY ITEM,9393514,6.00,'20% OFF ANY SINGLE APPAREL OR ACCESSORY ITEM
$5 OFF $50 TOTAL PURCHASE,9393519,22.00,'$5 OFF $50 TOTAL PURCHASE
$10 off $75 DECEMBER 1-2 ONLY,9531959,16.00,'$10 off $75 DECEMBER 1-2 ONLY
$5 OFF $50 TOTAL PURCHASE - BREMERTON & BANGOR,9559532,5.00,'$5 OFF $50 TOTAL PURCHASE - BREMERTON & BANGOR
20% OFF A SINGLE PAIR OF SHOES,9571788,23.00,'20% OFF A SINGLE PAIR OF SHOES
20% OFF A SINGLE APPAREL ITEM,9571789,22.00,'20% OFF A SINGLE APPAREL ITEM
20% OFF SINGLE ACCESSORIES ITEM,9571791,69.00,'20% OFF SINGLE ACCESSORIES ITEM
20% OFF SINGLE HOME ITEM,9571792,33.00,'20% OFF SINGLE HOME ITEM
$5 OFF $50 TOTAL PURCHASE UNIFORM SIZE STUDY,9585451,226.00,'$5 OFF $50 TOTAL PURCHASE UNIFORM SIZE STUDY
20% OFF ANY SINGLE ITEM APPAREL,9734704,30650.00,'20% OFF ANY SINGLE ITEM APPAREL
20% OFF ANY SINGLE ITEM ACCESSORIES,9734717,20739.00,'20% OFF ANY SINGLE ITEM ACCESSORIES
20% OFF ANY SINGLE ITEM SHOES FOR THE FAMILY,9734724,18478.00,'20% OFF ANY SINGLE ITEM SHOES FOR THE FAMILY
20% OFF ANY SINGLE ITEM FROM NEX SALON OR NEX SALO,9734734,1450.00,'20% OFF ANY SINGLE ITEM FROM NEX SALON OR NEX SALO
20% OFF ANY SINGLE ITEM FROM NEX FLORAL DEPARTMENT,9734738,1108.00,'20% OFF ANY SINGLE ITEM FROM NEX FLORAL DEPARTMENT
$100 OFF OF $1000 OR MORE FURNITURE AND HOME DECOR,9734744,272.00,'$100 OFF OF $1000 OR MORE FURNITURE AND HOME DECOR
10% OFF ANY SINGLE ITEM SMALL APPLIANCES OR FLOOR,9734746,4069.00,'10% OFF ANY SINGLE ITEM SMALL APPLIANCES OR FLOOR
20% OFF ANY SINGLE ITEM HOUSEWARES,9736861,2687.00,'20% OFF ANY SINGLE ITEM HOUSEWARES
20% OFF ANY SINGLE ITEM DOMESTICS,9736867,3971.00,'20% OFF ANY SINGLE ITEM DOMESTICS
10% OFF ANY SINGLE PATIO SET,9736868,243.00,'10% OFF ANY SINGLE PATIO SET
10% OFF ANY SINGLE ITEM LAWN AND GARDEN POWER EQUI,9736870,567.00,'10% OFF ANY SINGLE ITEM LAWN AND GARDEN POWER EQUI
25% OFF ANY HOME THEATER SYSTEM W/PURCHASE OF ANY,9754909,142.00,'25% OFF ANY HOME THEATER SYSTEM W/PURCHASE OF ANY
$10 OFF ANY SINGLE VIDEO GAME $39.99 AND ABOVE,9754919,2361.00,'$10 OFF ANY SINGLE VIDEO GAME $39.99 AND ABOVE
25% OFF ANY TABLET COVER OR LAPTOP BAG W/PURCHASE,9754926,311.00,'25% OFF ANY TABLET COVER OR LAPTOP BAG W/PURCHASE
FREE NEX GIFT CARD WITH HERO4 BLACK X401,9777185,124.00,'FREE NEX GIFT CARD WITH HERO4 BLACK X401
$10 OFF TOTAL PURCHASE OF $75 OR MORE-scans.00,9975147,22487.00,'$10 OFF TOTAL PURCHASE OF $75 OR MORE-scans.00
20% OFF Navy Pride ANY SINGLE ITEM,9994555,404.00,'20% OFF Navy Pride ANY SINGLE ITEM
10% OFF SMALL APPLIANCE SINGLE ITEM,9994558,571.00,'10% OFF SMALL APPLIANCE SINGLE ITEM
20% OFF HOME ANY SINGLE ITEM,9994560,1539.00,'20% OFF HOME ANY SINGLE ITEM
$5 off purchases $25 or more,9995188,1855.00,'$5 off purchases $25 or more
$20 off purchases $200 or more,9995200,524.00,'$20 off purchases $200 or more
