Date,Week,Month,Quarter,Year,Txns,Sales $
19-Sep-2015,Wk33,SEP,Q3,2015,"70,338","$5,568,171"
20-Sep-2015,Wk34,SEP,Q3,2015,"45,752","$2,894,456"
21-Sep-2015,Wk34,SEP,Q3,2015,"44,370","$2,210,163"
22-Sep-2015,Wk34,SEP,Q3,2015,"46,282","$2,502,456"
23-Sep-2015,Wk34,SEP,Q3,2015,"46,542","$2,440,479"
24-Sep-2015,Wk34,SEP,Q3,2015,"46,076","$2,343,557"
25-Sep-2015,Wk34,SEP,Q3,2015,"53,579","$2,997,810"
26-Sep-2015,Wk34,SEP,Q3,2015,"53,645","$3,584,624"
27-Sep-2015,Wk35,SEP,Q3,2015,"41,001","$2,604,268"
28-Sep-2015,Wk35,SEP,Q3,2015,"40,544","$1,918,646"
29-Sep-2015,Wk35,SEP,Q3,2015,"44,049","$2,283,273"
30-Sep-2015,Wk35,SEP,Q3,2015,"62,128","$4,070,611"
1-Oct-2015,Wk35,SEP,Q3,2015,"62,051","$3,721,266"
2-Oct-2015,Wk35,SEP,Q3,2015,"62,940","$3,760,710"
3-Oct-2015,Wk35,SEP,Q3,2015,"63,064","$4,389,849"
4-Oct-2015,Wk36,OCT,Q3,2015,"48,345","$3,006,144"
5-Oct-2015,Wk36,OCT,Q3,2015,"47,533","$2,357,651"
6-Oct-2015,Wk36,OCT,Q3,2015,"50,433","$2,692,569"
7-Oct-2015,Wk36,OCT,Q3,2015,"51,186","$2,518,342"
8-Oct-2015,Wk36,OCT,Q3,2015,"50,073","$2,424,070"
9-Oct-2015,Wk36,OCT,Q3,2015,"58,405","$3,265,207"
10-Oct-2015,Wk36,OCT,Q3,2015,"55,794","$3,587,648"
11-Oct-2015,Wk37,OCT,Q3,2015,"43,632","$2,645,979"
12-Oct-2015,Wk37,OCT,Q3,2015,"38,937","$2,170,101"
13-Oct-2015,Wk37,OCT,Q3,2015,"46,381","$2,056,741"
14-Oct-2015,Wk37,OCT,Q3,2015,"63,566","$5,006,146"
15-Oct-2015,Wk37,OCT,Q3,2015,"59,301","$3,866,560"
16-Oct-2015,Wk37,OCT,Q3,2015,"62,948","$4,089,937"
17-Oct-2015,Wk37,OCT,Q3,2015,"66,170","$5,338,803"
18-Oct-2015,Wk38,OCT,Q3,2015,"56,082","$4,280,335"
19-Oct-2015,Wk38,OCT,Q3,2015,"52,638","$3,102,524"
20-Oct-2015,Wk38,OCT,Q3,2015,"59,633","$4,028,224"
21-Oct-2015,Wk38,OCT,Q3,2015,"47,005","$2,206,256"
22-Oct-2015,Wk38,OCT,Q3,2015,"48,315","$2,266,440"
23-Oct-2015,Wk38,OCT,Q3,2015,"54,882","$2,799,689"
24-Oct-2015,Wk38,OCT,Q3,2015,"53,568","$3,303,749"
25-Oct-2015,Wk39,OCT,Q3,2015,"42,477","$2,416,373"
26-Oct-2015,Wk39,OCT,Q3,2015,"43,353","$1,991,015"
27-Oct-2015,Wk39,OCT,Q3,2015,"45,276","$2,081,606"
28-Oct-2015,Wk39,OCT,Q3,2015,"46,548","$2,336,512"
29-Oct-2015,Wk39,OCT,Q3,2015,"53,261","$2,684,939"
30-Oct-2015,Wk39,OCT,Q3,2015,"76,514","$5,064,873"
31-Oct-2015,Wk39,OCT,Q3,2015,"69,285","$4,896,641"
1-Nov-2015,Wk40,NOV,Q4,2015,"51,372","$3,445,344"
2-Nov-2015,Wk40,NOV,Q4,2015,"44,060","$2,047,185"
3-Nov-2015,Wk40,NOV,Q4,2015,"47,707","$2,406,961"
4-Nov-2015,Wk40,NOV,Q4,2015,"50,327","$2,981,449"
5-Nov-2015,Wk40,NOV,Q4,2015,"49,855","$2,631,819"
6-Nov-2015,Wk40,NOV,Q4,2015,"60,358","$3,441,712"
7-Nov-2015,Wk40,NOV,Q4,2015,"58,515","$3,990,041"
8-Nov-2015,Wk41,NOV,Q4,2015,"45,631","$2,898,174"
9-Nov-2015,Wk41,NOV,Q4,2015,"43,017","$2,031,494"
10-Nov-2015,Wk41,NOV,Q4,2015,"47,045","$2,333,603"
11-Nov-2015,Wk41,NOV,Q4,2015,"65,419","$7,368,303"
12-Nov-2015,Wk41,NOV,Q4,2015,"60,826","$4,151,235"
13-Nov-2015,Wk41,NOV,Q4,2015,"68,919","$4,820,439"
14-Nov-2015,Wk41,NOV,Q4,2015,"70,863","$6,025,893"
15-Nov-2015,Wk42,NOV,Q4,2015,"65,604","$5,462,933"
16-Nov-2015,Wk42,NOV,Q4,2015,"49,278","$2,373,550"
17-Nov-2015,Wk42,NOV,Q4,2015,"47,935","$2,583,147"
18-Nov-2015,Wk42,NOV,Q4,2015,"59,451","$3,405,119"
19-Nov-2015,Wk42,NOV,Q4,2015,"55,128","$2,892,558"
20-Nov-2015,Wk42,NOV,Q4,2015,"64,670","$3,796,916"
21-Nov-2015,Wk42,NOV,Q4,2015,"63,851","$4,358,991"
22-Nov-2015,Wk43,NOV,Q4,2015,"50,558","$4,404,585"
23-Nov-2015,Wk43,NOV,Q4,2015,"51,046","$2,882,534"
24-Nov-2015,Wk43,NOV,Q4,2015,"55,923","$3,237,256"
25-Nov-2015,Wk43,NOV,Q4,2015,"63,285","$3,796,550"
26-Nov-2015,Wk43,NOV,Q4,2015,819,"$18,793"
27-Nov-2015,Wk43,NOV,Q4,2015,"172,661","$34,321,083"
28-Nov-2015,Wk43,NOV,Q4,2015,"106,050","$11,178,052"
29-Nov-2015,Wk44,DEC,Q4,2015,"73,916","$6,653,654"
30-Nov-2015,Wk44,DEC,Q4,2015,"53,822","$2,830,825"
1-Dec-2015,Wk44,DEC,Q4,2015,"56,994","$2,774,188"
2-Dec-2015,Wk44,DEC,Q4,2015,"70,908","$5,156,213"
3-Dec-2015,Wk44,DEC,Q4,2015,"70,535","$4,705,484"
4-Dec-2015,Wk44,DEC,Q4,2015,"79,439","$5,480,595"
5-Dec-2015,Wk44,DEC,Q4,2015,"85,600","$7,056,131"
6-Dec-2015,Wk45,DEC,Q4,2015,"68,485","$5,255,479"
7-Dec-2015,Wk45,DEC,Q4,2015,"64,225","$4,120,202"
8-Dec-2015,Wk45,DEC,Q4,2015,"75,436","$5,341,478"
9-Dec-2015,Wk45,DEC,Q4,2015,"64,579","$4,035,329"
10-Dec-2015,Wk45,DEC,Q4,2015,"66,388","$4,154,056"
11-Dec-2015,Wk45,DEC,Q4,2015,"74,831","$5,072,018"
12-Dec-2015,Wk45,DEC,Q4,2015,"86,652","$7,331,568"
13-Dec-2015,Wk46,DEC,Q4,2015,"68,917","$5,614,987"
14-Dec-2015,Wk46,DEC,Q4,2015,"69,821","$4,705,165"
15-Dec-2015,Wk46,DEC,Q4,2015,"77,253","$5,506,335"
16-Dec-2015,Wk46,DEC,Q4,2015,"81,741","$6,141,515"
17-Dec-2015,Wk46,DEC,Q4,2015,"80,626","$5,863,098"
18-Dec-2015,Wk46,DEC,Q4,2015,"88,654","$6,919,635"
19-Dec-2015,Wk46,DEC,Q4,2015,"93,244","$9,062,781"
20-Dec-2015,Wk47,DEC,Q4,2015,"74,903","$6,739,969"
21-Dec-2015,Wk47,DEC,Q4,2015,"86,394","$7,219,059"
22-Dec-2015,Wk47,DEC,Q4,2015,"98,891","$8,775,851"
23-Dec-2015,Wk47,DEC,Q4,2015,"103,343","$8,127,901"
24-Dec-2015,Wk47,DEC,Q4,2015,"86,801","$6,797,407"
26-Dec-2015,Wk47,DEC,Q4,2015,"76,788","$4,711,350"
27-Dec-2015,Wk48,DEC,Q4,2015,"49,715","$2,573,216"
28-Dec-2015,Wk48,DEC,Q4,2015,"56,292","$2,483,168"
29-Dec-2015,Wk48,DEC,Q4,2015,"58,559","$2,815,253"
30-Dec-2015,Wk48,DEC,Q4,2015,"64,566","$3,580,508"
31-Dec-2015,Wk48,DEC,Q4,2015,"62,654","$3,530,290"
1-Jan-2016,Wk48,DEC,Q4,2015,"25,347","$1,504,098"
2-Jan-2016,Wk48,DEC,Q4,2015,"58,175","$3,311,033"
3-Jan-2016,Wk49,JAN,Q4,2015,"45,434","$2,371,056"
4-Jan-2016,Wk49,JAN,Q4,2015,"49,614","$2,135,899"
5-Jan-2016,Wk49,JAN,Q4,2015,"49,100","$2,201,238"
6-Jan-2016,Wk49,JAN,Q4,2015,"48,493","$2,199,500"
7-Jan-2016,Wk49,JAN,Q4,2015,"47,728","$2,127,596"
8-Jan-2016,Wk49,JAN,Q4,2015,"54,042","$2,581,742"
9-Jan-2016,Wk49,JAN,Q4,2015,"55,975","$3,292,171"
10-Jan-2016,Wk50,JAN,Q4,2015,"44,425","$2,431,313"
11-Jan-2016,Wk50,JAN,Q4,2015,"44,077","$1,871,514"
12-Jan-2016,Wk50,JAN,Q4,2015,"45,419","$2,007,097"
13-Jan-2016,Wk50,JAN,Q4,2015,"47,147","$2,207,129"
14-Jan-2016,Wk50,JAN,Q4,2015,"54,303","$2,769,040"
15-Jan-2016,Wk50,JAN,Q4,2015,"68,533","$4,434,223"
16-Jan-2016,Wk50,JAN,Q4,2015,"66,918","$4,704,396"
17-Jan-2016,Wk51,JAN,Q4,2015,"45,132","$2,667,495"
18-Jan-2016,Wk51,JAN,Q4,2015,"40,942","$2,279,151"
19-Jan-2016,Wk51,JAN,Q4,2015,"50,403","$2,192,757"
20-Jan-2016,Wk51,JAN,Q4,2015,"46,614","$2,051,677"
21-Jan-2016,Wk51,JAN,Q4,2015,"47,661","$2,143,029"
22-Jan-2016,Wk51,JAN,Q4,2015,"48,377","$2,310,924"
23-Jan-2016,Wk51,JAN,Q4,2015,"47,539","$2,679,940"
24-Jan-2016,Wk52,JAN,Q4,2015,"37,254","$1,915,130"
25-Jan-2016,Wk52,JAN,Q4,2015,"35,098","$1,329,726"
26-Jan-2016,Wk52,JAN,Q4,2015,"38,658","$1,662,502"
27-Jan-2016,Wk52,JAN,Q4,2015,"62,993","$4,756,384"
28-Jan-2016,Wk52,JAN,Q4,2015,"54,150","$3,227,732"
29-Jan-2016,Wk52,JAN,Q4,2015,"68,716","$4,459,148"
30-Jan-2016,Wk52,JAN,Q4,2015,"71,759","$5,583,726"
